순위,책제목,저자,출판사,가격
96,나는 월급쟁이 배당 부자가 되었다,환상감자(이은호) 저,길벗,"19,800원"
97,김재우의 기초 영어회화 100,김재우 저,상상스퀘어,"17,010원"
98,사과 세탁소 1 : 못 말리는 첫 직원,박보영 글/심보영 그림,한빛에듀,"13,050원"
99,빨간내복야코 국어 3 : 어휘 절대 안 틀리는 책,빨간내복야코 원저/박종은 글/이영아 그림/샌드박스 네트워크 감수,위즈덤하우스,"12,600원"
100,"마침내, 안녕",유월 저,서사원,"15,300원"
101,단 3개의 미국 ETF로 은퇴하라,김지훈(포메뽀꼬) 저,리더스북,"17,820원"
102,토마토 컵라면,차정은 저,BOOKK(부크크),"8,100원"
103,200만 원으로 시작하는 부동산 경매투자,"곽상빈, 묘지부자(윤준섭) 저",동아엠앤비,"19,800원"
104,사피엔스,유발 하라리 저/조현욱 역/이태수 감수,김영사,"24,120원"
105,푸른 상자 18 더블특전판,코우지 미우라 글그림,학산문화사,"5,400원"
106,5번 레인,은소홀 저/노인경 그림,문학동네,"11,250원"
107,괴수 8호 15 트리플특장판,마츠모토 나오야 글그림/유유리 역,서울미디어코믹스(서울문화사),"5,400원"
108,우리가 타인을 마주할 때,아돌프 크니게 저/박상미 역,저녁달,"18,900원"
109,과자 사면 과학 드립니다,정윤선 글/시미씨 그림,풀빛,"13,500원"
110,화가의 사람들,최연욱 저,온더페이지,"16,920원"
111,윤슬의 바다,백은별 저,바른북스,"13,500원"
112,마흔에 읽는 쇼펜하우어,강용수 저,유노북스,"15,300원"
113,원수는 백일장에서 만난다 (친필사인본),이승민 글/박정섭 그림,풀빛,"12,600원"
114,타키 포오 코믹 어드벤처 8,캐릭온TV 원저 / 안도감 글 / 김규태 그림,대원씨아이(단행)(대원키즈),"13,050원"
115,만화 나 혼자만 레벨업 14,추공 원저/장성락(REDICE STUDIO) 글그림,디앤씨웹툰비즈,"14,400원"
116,이처럼 사소한 것들,클레어 키건 저/홍한별 역,다산책방,"12,420원"
117,여름을 한 입 베어 물었더니,이꽃님 저,문학동네,"11,250원"
118,인생의 연금술,이하영 저,웅진지식하우스,"16,650원"
119,해커스 토익 LC Listening(리스닝) 기본서,David Cho 저,해커스어학연구소,"16,920원"
120,실패를 성공으로 바꾸는 주식투자의 기술,정재호 저,프런트페이지,"18,900원"
