순위,책제목,저자,출판사
131,ETS 토익기출 파트별 VOCA 보카,ETS 저,YBM(와이비엠)
132,단 한 줄만 내 마음에 새긴다고 해도,나민애 저,포레스트북스
133,원수는 백일장에서 만난다 (친필사인본),이승민 글/박정섭 그림,풀빛
134,별에게,안녕달 글그림,창비
135,화가의 사람들,최연욱 저,온더페이지
136,한국형 모멘텀 투자 실전 매매법,이가근 저,메이트북스
137,여름,이디스 워튼 저/김욱동 역,민음사
138,토막 난 우주를 안고서,"김초엽, 천선란, 김혜윤, 청예, 조서월 저",허블
139,2025 투자자산운용사 실제유형 모의고사 + 특별부록 PASSCODE Premium ver 10,유창호 편저,시대고시기획 시대교육
140,인생의 컨닝페이퍼,박종경 저,토네이도
141,초역 부처의 말 필사집,코이케 류노스케 저/박재현 역,포레스트북스
142,행복할 거야 이래도 되나 싶을 정도로,일홍 저,부크럼
143,구의 증명,최진영 저,은행나무
144,28시간에 끝내는 토익스피킹 스타트,"황인기, 시원스쿨어학연구소 저",시원스쿨닷컴
145,스파클,최현진 저,창비
146,초역 채근담,홍자성 저/유키 아코 편/박재현 역,부키
147,영어로 문장 만들기 훈련 1차 임계점,유은하 저,사람in
148,데미안,헤르만 헤세 저/전영애 역,민음사
149,"식탁 위의 권력, 미식 경제학",쑤친 저/김가경 역,이든서재
150,"엔비디아 젠슨 황, 생각하는 기계",스티븐 위트 저/백우진 역,알에이치코리아(RHK)
151,데일 카네기 자기관리론,데일 카네기 저/임상훈 역,현대지성
152,행동하지 않으면 인생은 바뀌지 않는다,브라이언 트레이시 저/정지현 역,현대지성
153,총 균 쇠,재레드 다이아몬드 저/강주헌 역,김영사
154,돈의 속성 400쇄 리커버,김승호 저,스노우폭스북스
155,비전공자도 이해할 수 있는 챗GPT,박상길 저/정진호 그림,비즈니스북스
156,손실은 짧게 수익은 길게,깡토 저,이레미디어
157,환율의 대전환,오건영 저,포레스트북스
158,소설 보다 : 여름 2025,"김지연, 이서아, 함윤이 저",문학과지성사
